Placename,Type,Coordinates,Latitude,Longitude,Description
Right to Dream Park,Stadium,"55.81615359675864, 12.352359392388015",55.8161536,12.35235939,FC Nordsjaelland
Energi Viborg Arena,Stadium,"56.45559771603748, 9.4020239074074",56.45559772,9.402023907,Viborg
Parken,Stadium,"55.702837791516956, 12.572337456140234",55.70283779,12.57233746,FCK
Jysk Park,Stadium,"56.18427621440282, 9.575369888698582",56.18427621,9.575369889,Silkeborg
EWII Park,Stadium,"55.3979104478512, 10.350041940784468",55.39791045,10.35004194,OB
Cepheus Park,Stadium,"56.46576232066315, 10.009542685005904",56.46576232,10.00954269,Randers FC
MCH Arena,Stadium,"56.11694148192916, 8.951752756156303",56.11694148,8.951752756,FC Midtjylland
Ceres Park,Stadium,"56.132012903923474, 10.193710801659575",56.1320129,10.1937108,AGF
CASA Arena Horsens,Stadium,"55.87175292665017, 9.857975822751316",55.87175293,9.857975823,AC Horsens
Brøndby Stadion,Stadium,"55.648947519860826, 12.417410752434403",55.64894752,12.41741075,Brøndby IF
Aalborg Portland Park,Stadium,"57.05210567321561, 9.898573183177122",57.05210567,9.898573183,AaB
Lyngby Stadion,Stadium,"55.78082725013391, 12.505794540799307",55.78082725,12.50579454,Lyngby Boldklub